     run1  run2  run3  average  stdev  spread   exp  difference
bnz -2.44 -2.76 -2.20    -5.46   0.28    0.56 -5.19  -0.27
phn  3.42  2.62  1.10    -0.61   1.18    2.32 -0.88   0.27
R78 -12.80 -12.66 -11.29   -11.08   0.83    1.51 -9.80       -1.28
JQ1 -13.30 -13.24 -11.94   -11.66   0.77    1.36 -9.60       -2.06
1H2 -10.04  -9.60 -10.60    -8.91   0.50    1.00 -8.80       -0.11
08K -12.37 -11.01 -11.71   -10.53   0.68    1.36 -8.20       -2.33
1K0  -7.29  -9.09  -7.89    -6.92   0.92    1.80 -9.00        2.08
1K1  -7.67  -8.55  -7.67    -6.80   0.51    0.88 -7.80        1.00
08H -11.19 -10.47 -11.54    -9.90   0.55    1.07 -7.40       -2.50
2TA  -8.57  -9.50  -8.99    -7.85   0.47    0.93 -8.90        1.05
15E  -5.20  -5.60  -4.82    -4.04   0.39    0.78 -6.30        2.26
ODR  -6.43  -6.50  -6.80    -5.41   0.20    0.37 -7.30        1.89
ejm_31  -4.72  -5.03  -7.65    -9.60   1.61    2.93  -9.54       -0.06
ejm_42  -7.41  -2.79  -9.98   -10.53   3.64    7.19  -9.78       -0.75
ejm_43  -5.63  -3.44  -4.49    -8.32   1.10    2.19  -8.26       -0.06
ejm_44  -4.86  -2.16  -1.52    -6.65   1.77    3.34  -7.42        0.77
ejm_45  -6.65  -2.66  -6.14    -8.95   2.17    3.99  -9.56        0.61
ejm_46  -6.05  -8.68  -3.57    -9.90   2.56    5.11 -11.31        1.41
ejm_47  -1.39  -4.65  -9.40    -8.95   4.03    8.01  -9.70        0.75
ejm_48  -5.52  -5.37  -3.85    -8.72   0.92    1.67  -9.00        0.28
ejm_49  -3.53  -2.78  -3.79    -7.17   0.52    1.01  -7.75        0.58
ejm_50 -11.82  -4.54  -3.67   -10.48   4.48    8.15  -8.98       -1.50
ejm_54  -8.58 -10.29  -8.11   -12.80   1.15    2.18 -10.53       -2.27
ejm_55  -5.96  -8.05  -3.66    -9.69   2.20    4.39  -9.21       -0.48
jmc_23  -9.50  -5.78  -7.60   -11.43   1.86    3.72 -11.70        0.27
jmc_27  -5.63  -3.49  -8.32    -9.62   2.42    4.83 -11.28        1.66
jmc_28  -7.95  -5.40  -9.39   -11.38   2.02    3.99 -10.98       -0.40
jmc_30  -8.29  -4.32 -11.13   -11.72   3.42    6.81 -10.94       -0.78
1a  -6.52  -9.30  -5.86    -7.05   1.83    3.44 -7.48        0.43
1b -12.00 -11.38  -5.57    -9.47   3.55    6.43 -8.46       -1.01
1c  -4.44  -4.07 -11.73    -6.57   4.32    7.66 -8.56        1.99
1d -12.01  -5.33  -4.82    -7.21   4.01    7.19 -8.25        1.04
3a  -9.29  -6.03 -10.65    -8.48   2.37    4.62 -8.32       -0.16
3b  -7.77  -9.85  -9.48    -8.86   1.11    2.08 -7.86       -1.00
5   -9.57  -3.34  -7.15    -6.51   3.14    6.23 -7.58        1.07
6a -11.54 -10.51  -5.89    -9.14   3.01    5.65 -9.18        0.04
6b  -9.79  -5.89 -10.86    -8.67   2.62    4.97 -8.89        0.22
6e -12.32  -9.65  -8.55   -10.00   1.94    3.77 -8.91       -1.09
7a  -9.67 -10.58  -9.53    -9.75   0.57    1.05 -8.22       -1.53
